"","SCI_NAME_KEY","prev","COM_NAME","SPECIES_CODE","COUNT","X","GROUP","HIGHLIGHT_GROUP"
"169","Dryocopus_pileatus",3.12472305040912,"Pileated Woodpecker","pilwoo",1063160,64,"landbird","landbird"
"170","Dumetella_carolinensis",0.470712101642678,"Gray Catbird","grycat",2063099,33,"landbird","landbird"
"171","Egretta_caerulea",0.182926533806053,"Little Blue Heron","libher",575287,119,"waterbird","wading"
"172","Egretta_rufescens",0.00106151824719985,"Reddish Egret","redegr",109483,327,"waterbird","wading"
"173","Egretta_thula",0.25701500414093,"Snowy Egret","snoegr",1255478,57,"waterbird","wading"
"174","Egretta_tricolor",0.0828013361634774,"Tricolored Heron","triher",456418,145,"waterbird","wading"
"175","Elanoides_forficatus",4.9998374e-05,"Swallow-tailed Kite","swtkit",50828,403,"landbird","landbird"
"176","Elanus_leucurus",4.9998374e-05,"White-tailed Kite","whtkit",160987,283,"landbird","landbird"
"177","Empidonax_alnorum",4.9998374e-05,"Alder Flycatcher","aldfly",35857,439,"landbird","landbird"
"178","Empidonax_difficilis",0.00665417127570443,"Pacific-slope Flycatcher","pasfly",149342,294,"landbird","landbird"
"179","Empidonax_flaviventris",4.9998374e-05,"Yellow-bellied Flycatcher","yebfly",25037,488,"landbird","landbird"
"180","Empidonax_hammondii",0.000494106515000198,"Hammond's Flycatcher","hamfly",34735,442,"landbird","landbird"
"181","Empidonax_minimus",0.00212721890736657,"Least Flycatcher","leafly",153520,289,"landbird","landbird"
"182","Empidonax_oberholseri",4.9998374e-05,"Dusky Flycatcher","dusfly",49996,406,"landbird","landbird"
"183","Empidonax_occidentalis",4.9998374e-05,"Cordilleran Flycatcher","corfly",42520,426,"landbird","landbird"
"184","Empidonax_traillii",4.9998374e-05,"Willow Flycatcher","wilfly",194399,254,"landbird","landbird"
"185","Empidonax_virescens",4.9998374e-05,"Acadian Flycatcher","acafly",220618,232,"landbird","landbird"
"186","Empidonax_wrightii",4.9998374e-05,"Gray Flycatcher","gryfly",43886,422,"landbird","landbird"
"187","Eremophila_alpestris",0.810510847941406,"Horned Lark","horlar",447469,149,"landbird","landbird"
"188","Eudocimus_albus",0.279210142623586,"White Ibis","whiibi",625598,115,"waterbird","wading"
"189","Eugenes_fulgens",4.9998374e-05,"Rivoli's Hummingbird","maghum1",27854,476,"landbird","landbird"
"190","Euphagus_carolinus",0.320732746621897,"Rusty Blackbird","rusbla",128114,309,"landbird","blackbird"
"191","Euphagus_cyanocephalus",0.0218382272916798,"Brewer's Blackbird","brebla",496233,136,"landbird","blackbird"
"192","Falco_columbarius",0.485875427152404,"Merlin","merlin",229767,225,"landbird","landbird"
"193","Falco_mexicanus",0.000941582667240463,"Prairie Falcon","prafal",55616,388,"landbird","landbird"
"194","Falco_peregrinus",0.506363286819031,"Peregrine Falcon","perfal",298691,197,"landbird","landbird"
"195","Falco_sparverius",0.858360436418993,"American Kestrel","amekes",1304420,55,"landbird","landbird"
"196","Fregata_magnificens",4.9998374e-05,"Magnificent Frigatebird","magfri",52495,395,"waterbird","waterbird"
"197","Fulica_americana",3.51021330339734,"American Coot","y00475",1704862,43,"waterbird","waterbird"
"198","Fulmarus_glacialis",0.000355585288147888,"Northern Fulmar","norful",32500,453,"waterbird","waterbird"
"199","Gallinago_delicata",0.30414129293825,"Wilson's Snipe","wilsni1",283626,202,"shorebird","shorebird"
"200","Gallinula_galeata",0.11796560025424,"Common Gallinule","comgal1",431787,154,"waterbird","waterbird"
"201","Gavia_immer",1.52139340859133,"Common Loon","comloo",490441,137,"waterbird","waterbird"
"202","Gavia_pacifica",0.00274641453890357,"Pacific Loon","pacloo",55531,389,"waterbird","waterbird"
"203","Gavia_stellata",0.645980290391259,"Red-throated Loon","retloo",167202,277,"waterbird","waterbird"
"204","Gelochelidon_nilotica",4.9998374e-05,"Gull-billed Tern","gubter1",46967,415,"waterbird","gull_tern"
"205","Geococcyx_californianus",4.9998374e-05,"Greater Roadrunner","greroa",158256,288,"landbird","landbird"
"206","Geothlypis_formosa",4.9998374e-05,"Kentucky Warbler","kenwar",80522,355,"landbird","warbler"
"207","Geothlypis_philadelphia",4.9998374e-05,"Mourning Warbler","mouwar",32613,450,"landbird","warbler"
"208","Geothlypis_tolmiei",4.9998374e-05,"MacGillivray's Warbler","macwar",76437,362,"landbird","warbler"
"209","Geothlypis_trichas",0.0725786304035638,"Common Yellowthroat","comyel",1792447,41,"landbird","landbird"
"210","Geranoaetus_albicaudatus",4.9998374e-05,"White-tailed Hawk","whthaw",28724,472,"landbird","landbird"
"211","Gymnorhinus_cyanocephalus",4.9998374e-05,"Pinyon Jay","pinjay",25346,486,"landbird","landbird"
"212","Haematopus_bachmani",4.9998374e-05,"Black Oystercatcher","blkoys",74117,366,"shorebird","shorebird"
"213","Haematopus_palliatus",0.0323790267947106,"American Oystercatcher","ameoys",174804,270,"shorebird","shorebird"
"214","Haemorhous_cassinii",4.9998374e-05,"Cassin's Finch","casfin",83576,349,"landbird","landbird"
"215","Haemorhous_mexicanus",18.3333538593964,"House Finch","houfin",4001435,10,"landbird","landbird"
"216","Haemorhous_purpureus",1.1901093206321,"Purple Finch","purfin",355421,180,"landbird","landbird"
"217","Haliaeetus_leucocephalus",5.13456441389616,"Bald Eagle","baleag",1140854,60,"landbird","landbird"
"218","Helmitheros_vermivorum",4.9998374e-05,"Worm-eating Warbler","woewar1",102912,334,"landbird","warbler"
"219","Himantopus_mexicanus",0.000588834539391315,"Black-necked Stilt","bknsti",416309,159,"shorebird","shorebird"
"220","Hirundo_rustica",0.00120563382637801,"Barn Swallow","barswa",2019532,34,"landbird","landbird"
"221","Histrionicus_histrionicus",0.0676681278087094,"Harlequin Duck","harduc",26141,482,"waterfowl","waterfowl"
"222","Hydroprogne_caspia",0.0048808265992879,"Caspian Tern","caster1",394822,165,"waterbird","gull_tern"
"223","Hylocichla_mustelina",0.00171316035088114,"Wood Thrush","woothr",521988,127,"landbird","thrush"
"224","Icteria_virens",0.0337589147813036,"Yellow-breasted Chat","yebcha",243196,216,"landbird","landbird"
"225","Icterus_bullockii",0.032572735394618,"Bullock's Oriole","bulori",211632,240,"landbird","blackbird"
"226","Icterus_cucullatus",4.9998374e-05,"Hooded Oriole","hooori",133710,304,"landbird","blackbird"
"227","Icterus_galbula",0.411100029491602,"Baltimore Oriole","balori",780576,86,"landbird","blackbird"
"228","Icterus_gularis",4.9998374e-05,"Altamira Oriole","altori",30237,465,"landbird","blackbird"
"229","Icterus_parisorum",0.000447603457130552,"Scott's Oriole","scoori",34233,445,"landbird","blackbird"
"230","Icterus_spurius",0.000359041257750201,"Orchard Oriole","orcori",364789,175,"landbird","blackbird"
"231","Ictinia_mississippiensis",4.9998374e-05,"Mississippi Kite","miskit",106402,330,"landbird","landbird"
"232","Ixobrychus_exilis",0.000976738396556174,"Least Bittern","leabit",65139,376,"waterbird","wading"
"233","Ixoreus_naevius",0.0101091307753515,"Varied Thrush","varthr",39970,432,"landbird","thrush"
"234","Junco_hyemalis",28.1782651154536,"Dark-eyed Junco","daejun",2582115,26,"landbird","landbird"
"235","Junco_phaeonotus",4.9998374e-05,"Yellow-eyed Junco","yeejun",32533,452,"landbird","landbird"
"236","Lanius_borealis",0.175019016650587,"Northern Shrike","norshr4",24878,491,"landbird","landbird"
"237","Lanius_ludovicianus",0.140126499553651,"Loggerhead Shrike","logshr",511530,132,"landbird","landbird"
"238","Larus_argentatus",11.6192230226313,"Herring Gull","hergul",1465048,48,"waterbird","gull_tern"
"239","Larus_californicus",0.000415850576376844,"California Gull","calgul",434120,153,"waterbird","gull_tern"
"240","Larus_canus",0.00938550226135829,"Mew Gull","mewgul",49384,408,"waterbird","gull_tern"
"241","Larus_delawarensis",19.3912968068981,"Ring-billed Gull","ribgul",2405179,29,"waterbird","gull_tern"
"242","Larus_fuscus",0.599031357093436,"Lesser Black-backed Gull","lbbgul",114527,324,"waterbird","gull_tern"
"243","Larus_glaucescens",4.9998374e-05,"Glaucous-winged Gull","glwgul",79035,357,"waterbird","gull_tern"
"244","Larus_glaucoides",0.451383093818675,"Iceland Gull","y00478",55168,392,"waterbird","gull_tern"
"245","Larus_heermanni",4.9998374e-05,"Heermann's Gull","heegul",135734,303,"waterbird","gull_tern"
"246","Larus_marinus",5.74474548175633,"Great Black-backed Gull","gbbgul",690738,100,"waterbird","gull_tern"
"247","Larus_occidentalis",4.9998374e-05,"Western Gull","wesgul",463280,144,"waterbird","gull_tern"
"248","Leptotila_verreauxi",4.9998374e-05,"White-tipped Dove","whtdov",48789,410,"landbird","landbird"
"249","Leucophaeus_atricilla",0.171271444701107,"Laughing Gull","laugul",890315,78,"waterbird","gull_tern"
"250","Leucophaeus_pipixcan",9.25073134096376e-05,"Franklin's Gull","fragul",89442,343,"waterbird","gull_tern"
"251","Limnodromus_griseus",0.0107750007480493,"Short-billed Dowitcher","shbdow",198415,249,"shorebird","shorebird"
"252","Limnodromus_scolopaceus",0.00993445810064936,"Long-billed Dowitcher","lobdow",207272,243,"shorebird","shorebird"
"253","Limosa_fedoa",0.0112238173629635,"Marbled Godwit","margod",203369,244,"shorebird","shorebird"
"254","Lonchura_punctulata",4.9998374e-05,"Scaly-breasted Munia","nutman",46687,416,"landbird","landbird"
"255","Lophodytes_cucullatus",6.4072257965668,"Hooded Merganser","hoomer",638670,112,"waterfowl","waterfowl"
"256","Loxia_curvirostra",0.0945000008964776,"Red Crossbill","redcro",47204,414,"landbird","landbird"
"257","Mareca_americana",1.10070643660313,"American Wigeon","amewig",682988,104,"waterfowl","waterfowl"
"258","Mareca_penelope",0.0690654116431269,"Eurasian Wigeon","eurwig",30882,461,"waterfowl","waterfowl"
"259","Mareca_strepera",1.93621111055329,"Gadwall","gadwal",952951,74,"waterfowl","waterfowl"
"260","Megaceryle_alcyon",3.66834800571621,"Belted Kingfisher","belkin1",1551566,45,"landbird","landbird"
"261","Megascops_asio",0.144540763240868,"Eastern Screech-Owl","easowl1",106981,329,"landbird","landbird"
"262","Megascops_kennicottii",4.9998374e-05,"Western Screech-Owl","wesowl1",26814,479,"landbird","landbird"
"263","Melanerpes_aurifrons",4.9998374e-05,"Golden-fronted Woodpecker","gofwoo",182412,263,"landbird","landbird"
"264","Melanerpes_carolinus",21.3470643790503,"Red-bellied Woodpecker","rebwoo",3845357,14,"landbird","landbird"
"265","Melanerpes_erythrocephalus",0.658320781128749,"Red-headed Woodpecker","rehwoo",396100,163,"landbird","landbird"
"266","Melanerpes_formicivorus",4.9998374e-05,"Acorn Woodpecker","acowoo",449219,148,"landbird","landbird"
"267","Melanerpes_lewis",7.83891120242266e-05,"Lewis's Woodpecker","lewwoo",30210,466,"landbird","landbird"
"268","Melanerpes_uropygialis",4.9998374e-05,"Gila Woodpecker","gilwoo",225750,227,"landbird","landbird"
"269","Melanitta_americana",0.545071962571301,"Black Scoter","blksco2",123096,315,"waterfowl","waterfowl"
"270","Melanitta_deglandi",1.04510574307315,"White-winged Scoter","whwsco4",117523,320,"waterfowl","waterfowl"
"271","Melanitta_perspicillata",0.787426675873776,"Surf Scoter","sursco",232824,222,"waterfowl","waterfowl"
"272","Meleagris_gallopavo",0.416571349297682,"Wild Turkey","wiltur",485960,138,"landbird","landbird"
"273","Melospiza_georgiana",0.713970345125179,"Swamp Sparrow","swaspa",685656,101,"landbird","landbird"
"274","Melospiza_lincolnii",0.0101543897753786,"Lincoln's Sparrow","linspa",427747,156,"landbird","landbird"
"275","Melospiza_melodia",14.8187098278574,"Song Sparrow","sonspa",4106627,8,"landbird","landbird"
"276","Melozone_aberti",4.9998374e-05,"Abert's Towhee","abetow",149790,293,"landbird","landbird"
"277","Melozone_crissalis",4.9998374e-05,"California Towhee","caltow",595095,116,"landbird","landbird"
"278","Melozone_fusca",4.9998374e-05,"Canyon Towhee","cantow",117439,321,"landbird","landbird"
"279","Mergus_merganser",5.05873410100295,"Common Merganser","commer",536625,125,"waterfowl","waterfowl"
"280","Mergus_serrator",4.25176576088436,"Red-breasted Merganser","rebmer",513166,130,"waterfowl","waterfowl"
"281","Mimus_polyglottos",10.2430536716388,"Northern Mockingbird","normoc",3444592,16,"landbird","landbird"
"282","Mniotilta_varia",0.0701915811249894,"Black-and-white Warbler","bawwar",634501,113,"landbird","warbler"
"283","Molothrus_aeneus",4.9998374e-05,"Bronzed Cowbird","brocow",51900,398,"landbird","blackbird"
"284","Molothrus_ater",1.71962643580888,"Brown-headed Cowbird","bnhcow",1870230,37,"landbird","blackbird"
"285","Morus_bassanus",0.137442165274646,"Northern Gannet","norgan",121689,316,"waterbird","waterbird"
"286","Myadestes_townsendi",0.0187433791533485,"Townsend's Solitaire","towsol",100338,336,"landbird","thrush"
"287","Mycteria_americana",0.0717440748399063,"Wood Stork","woosto",194025,255,"waterbird","wading"
"288","Myiarchus_cinerascens",0.0281664875362253,"Ash-throated Flycatcher","astfly",214506,237,"landbird","landbird"
"289","Myiarchus_crinitus",4.9998374e-05,"Great Crested Flycatcher","grcfly",806418,85,"landbird","landbird"
"290","Myiarchus_tuberculifer",4.9998374e-05,"Dusky-capped Flycatcher","ducfly",29010,470,"landbird","landbird"
"291","Myiarchus_tyrannulus",4.9998374e-05,"Brown-crested Flycatcher","bncfly",51932,397,"landbird","landbird"
"292","Myioborus_pictus",4.9998374e-05,"Painted Redstart","paired",42851,425,"landbird","warbler"
"293","Myiopsitta_monachus",0.127619792630906,"Monk Parakeet","monpar",55390,391,"landbird","landbird"
"294","Nucifraga_columbiana",4.9998374e-05,"Clark's Nutcracker","clanut",50746,404,"landbird","landbird"
"295","Numenius_americanus",0.000709195635643032,"Long-billed Curlew","lobcur",160643,285,"shorebird","shorebird"
"296","Numenius_phaeopus",0.00266552493260936,"Whimbrel","whimbr",143094,298,"shorebird","shorebird"
"297","Nyctanassa_violacea",0.00931969439256118,"Yellow-crowned Night-Heron","ycnher",179893,266,"waterbird","wading"
"298","Nycticorax_nycticorax",1.71125387232327,"Black-crowned Night-Heron","bcnher",519046,129,"waterbird","wading"
"299","Oceanites_oceanicus",4.9998374e-05,"Wilson's Storm-Petrel","wispet",25874,483,"waterbird","waterbird"
"300","Oreortyx_pictus",4.9998374e-05,"Mountain Quail","mouqua",23825,498,"landbird","landbird"
"301","Oreoscoptes_montanus",0.00027436181516199,"Sage Thrasher","sagthr",41640,430,"landbird","landbird"
"302","Oreothlypis_celata",0.408756296654811,"Orange-crowned Warbler","orcwar",669226,107,"landbird","warbler"
"303","Oreothlypis_luciae",0.000304603325694207,"Lucy's Warbler","lucwar",66005,375,"landbird","warbler"
"304","Oreothlypis_peregrina",0.0017358793632746,"Tennessee Warbler","tenwar",216154,235,"landbird","warbler"
"305","Oreothlypis_ruficapilla",0.00915132230136593,"Nashville Warbler","naswar",270596,208,"landbird","warbler"
"306","Oreothlypis_virginiae",0.000678756615890021,"Virginia's Warbler","virwar",29599,467,"landbird","warbler"
"307","Ortalis_vetula",4.9998374e-05,"Plain Chachalaca","placha",50635,405,"landbird","landbird"
"308","Oxyura_jamaicensis",2.67590216066685,"Ruddy Duck","rudduc",859290,81,"waterfowl","waterfowl"
"309","Pandion_haliaetus",0.248084355769823,"Osprey","osprey",1381052,52,"landbird","landbird"
"310","Parabuteo_unicinctus",4.9998374e-05,"Harris's Hawk","hrshaw",55450,390,"landbird","landbird"
"311","Parkesia_motacilla",4.9998374e-05,"Louisiana Waterthrush","louwat",161808,282,"landbird","warbler"
"312","Parkesia_noveboracensis",0.000636236744626282,"Northern Waterthrush","norwat",199057,246,"landbird","warbler"
"313","Passer_domesticus",13.5882852157132,"House Sparrow","houspa",3215495,20,"landbird","landbird"
"314","Passerculus_sandwichensis",0.503135474069054,"Savannah Sparrow","savspa",861668,80,"landbird","landbird"
"315","Passerella_iliaca",0.961560404281845,"Fox Sparrow","foxspa",356740,179,"landbird","landbird"
"316","Passerina_amoena",0.000517133679312882,"Lazuli Bunting","lazbun",125416,314,"landbird","landbird"
"317","Passerina_caerulea",0.0033058930833404,"Blue Grosbeak","blugrb1",352531,181,"landbird","landbird"
"318","Passerina_ciris",0.158923632059028,"Painted Bunting","paibun",182064,264,"landbird","landbird"
"319","Passerina_cyanea",0.00205972535409913,"Indigo Bunting","indbun",1003664,70,"landbird","landbird"
"320","Patagioenas_fasciata",0.00288578986261269,"Band-tailed Pigeon","batpig1",169010,276,"landbird","landbird"
"321","Pelecanus_erythrorhynchos",0.0777908105047946,"American White Pelican","amwpel",506642,134,"waterbird","waterbird"
"322","Pelecanus_occidentalis",0.267218019332517,"Brown Pelican","brnpel",715464,93,"waterbird","waterbird"
"323","Petrochelidon_fulva",0.000667005465802942,"Cave Swallow","cavswa",51130,401,"landbird","landbird"
"324","Petrochelidon_pyrrhonota",4.9998374e-05,"Cliff Swallow","cliswa",509484,133,"landbird","landbird"
"325","Peucaea_carpalis",4.9998374e-05,"Rufous-winged Sparrow","ruwspa",35915,438,"landbird","landbird"
"326","Peucaea_cassinii",4.9998374e-05,"Cassin's Sparrow","casspa",31300,460,"landbird","landbird"
"327","Phainopepla_nitens",4.9998374e-05,"Phainopepla","phaino",177110,268,"landbird","landbird"
"328","Phalacrocorax_auritus",2.54274203923609,"Double-crested Cormorant","doccor",2461052,28,"waterbird","waterbird"
"329","Phalacrocorax_brasilianus",4.9998374e-05,"Neotropic Cormorant","neocor",197194,250,"waterbird","waterbird"
"330","Phalacrocorax_carbo",0.202901660114033,"Great Cormorant","grecor",51987,396,"waterbird","waterbird"
"331","Phalacrocorax_pelagicus",4.9998374e-05,"Pelagic Cormorant","pelcor",83822,347,"waterbird","waterbird"
"332","Phalacrocorax_penicillatus",4.9998374e-05,"Brandt's Cormorant","bracor",137208,302,"waterbird","waterbird"
"333","Phalaropus_fulicarius",0.000432775194604683,"Red Phalarope","redpha1",24898,490,"shorebird","shorebird"
